id,rc_key,date,shift,sampleno,part,model,ref,id_ukur,parameter,deviation,category,description,corrective_action,status,inputted_by,inputted_role,pic,inputted_at,updated_at
f4a6fd39,06 Apr 2026|1|1|CRCS L|K1AL L1|B081|Posisi X From B080,06 Apr 2026,1,1,CRCS L,K1AL L1,B081,N0372,Posisi X From B080,0.217,Material,Burr pada permukaan part mempengaruhi pengukuran,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,produksi_a,Produksi,Andi,2026-04-06 13:40:44,2026-04-06 14:03:44
d48fb348,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0399,-,-0.073,Setup / Fixture,Posisi fixture tidak di-verify ulang setelah maintenance,"Part di-rework, re-measurement setelah proses",Investigated,operator_1,Produksi,Wahyu,2026-04-06 14:06:44,2026-04-06 14:22:44
f0ad57d3,06 Apr 2026|1|1|CRCS L|K1AL L1|A151|Posisi Y Reamer 8H8,06 Apr 2026,1,1,CRCS L,K1AL L1,A151,N0409,Posisi Y Reamer 8H8,0.147,Program CMM,Program belum di-update setelah ECR terakhir,Operator di-brief ulang terkait SOP setup dan mounting,Resolved,operator_3,Produksi,Andi,2026-04-06 13:55:44,2026-04-06 13:57:44
cd8c98b2,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0425,-,0.095,Tooling,Coolant tersumbat menyebabkan panas berlebih,,Resolved,produksi_a,Produksi,Dani,2026-04-06 14:18:44,2026-04-06 15:45:44
52884930,06 Apr 2026|1|1|CRCS L|K1AL L1|A152|Posisi Y Reamer 8H8,06 Apr 2026,1,1,CRCS L,K1AL L1,A152,N0429,Posisi Y Reamer 8H8,0.128,Operator,Setup belum sesuai SOP yang berlaku,Preventive maintenance dijadwalkan,Investigated,operator_2,Produksi,Sari,2026-04-06 14:38:44,2026-04-06 15:45:44
efa5b3b7,06 Apr 2026|1|1|CRCS L|K1AL L1|A160|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,A160,N0434,Posisi X,0.264,Program CMM,Tolerance setting program belum sesuai revisi drawing terbaru,,Resolved,operator_2,Produksi,Hendra,2026-04-06 14:17:44,2026-04-06 16:26:44
5cd745ab,06 Apr 2026|1|1|CRCS L|K1AL L1|A160|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,A160,N0434,Posisi Y,0.22,Setup / Fixture,Part tidak rata saat setup — ada celah di datum,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,produksi_a,Produksi,Rini,2026-04-06 14:53:44,2026-04-06 17:08:44
369143cf,06 Apr 2026|1|1|CRCS L|K1AL L1|A154|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,A154,N0446,Posisi Y,0.223,Operator,Operator baru belum familiar dengan prosedur,,Open,produksi_b,Produksi,Budi,2026-04-06 15:00:44,2026-04-06 16:18:44
4d7fd813,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0452,-,0.22,Setup / Fixture,Fixture tidak terkunci sempurna sebelum pengukuran,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Resolved,produksi_a,Produksi,Sari,2026-04-06 14:41:44,2026-04-06 16:45:44
c3830d9e,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0452,-,-0.5,Setup / Fixture,Fixture bergeser setelah pergantian shift,Koordinasi dengan engineering untuk review toleransi di drawing,Resolved,operator_2,Produksi,Wahyu,2026-04-06 12:41:44,2026-04-06 14:56:44
85580c3c,06 Apr 2026|1|1|CRCS L|K1AL L1|B027|Angle From B010,06 Apr 2026,1,1,CRCS L,K1AL L1,B027,N0463,Angle From B010,1.569,Setup / Fixture,Posisi fixture tidak di-verify ulang setelah maintenance,Preventive maintenance dijadwalkan,Resolved,operator_1,Produksi,Rini,2026-04-06 12:25:44,2026-04-06 13:44:44
e3bdf3f3,06 Apr 2026|1|1|CRCS L|K1AL L1|B017|Distance From B027,06 Apr 2026,1,1,CRCS L,K1AL L1,B017,N0478,Distance From B027,0.129,Operator,Salah membaca program CMM yang aktif,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Resolved,produksi_a,Produksi,Rini,2026-04-06 12:37:44,2026-04-06 13:34:44
4d2939b1,06 Apr 2026|1|1|CRCS L|K1AL L1|A151|Posisi Y Drill 6.45,06 Apr 2026,1,1,CRCS L,K1AL L1,A151,N0482,Posisi Y Drill 6.45,0.215,Mesin / Machine,Getaran mesin berlebih saat pengukuran,Fixture di-check dan di-realign ke posisi nominal,Investigated,produksi_a,Produksi,Budi,2026-04-06 12:30:44,2026-04-06 12:31:44
33d2865d,06 Apr 2026|1|1|CRCS L|K1AL L1|A006|Concentricity to m,06 Apr 2026,1,1,CRCS L,K1AL L1,A006,N0488,Concentricity to m,0.034,Setup / Fixture,Fixture tidak terkunci sempurna sebelum pengukuran,,Open,operator_2,Produksi,Hendra,2026-04-06 12:58:44,2026-04-06 13:16:44
66a7bee1,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0491,-,0.22,Material,Burr pada permukaan part mempengaruhi pengukuran,Program CMM diupdate sesuai revisi drawing terbaru,Resolved,operator_2,Produksi,,2026-04-06 12:07:44,2026-04-06 14:33:44
cc947fba,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0492,-,0.108,Setup / Fixture,Datum reference tidak sesuai drawing,"Tool diganti, measurement diulang dan hasilnya OK",Resolved,operator_3,Produksi,Wahyu,2026-04-06 11:58:44,2026-04-06 12:22:44
8ff646b5,06 Apr 2026|1|1|CRCS L|K1AL L1|B025|Position to d & e,06 Apr 2026,1,1,CRCS L,K1AL L1,B025,N0503,Position to d & e,0.111,Material,Surface finish tidak memenuhi syarat pengukuran CMM,,Investigated,operator_3,Produksi,Andi,2026-04-06 14:40:44,2026-04-06 14:53:44
031b81ae,06 Apr 2026|1|1|CRCS L|K1AL L1|B010|Position To d & e,06 Apr 2026,1,1,CRCS L,K1AL L1,B010,N0503,Position To d & e,0.111,Mesin / Machine,Thermal expansion mesin akibat suhu ruangan,,Investigated,produksi_b,Produksi,Hendra,2026-04-06 12:01:44,2026-04-06 13:04:44
598443bf,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0520,-,0.221,Program CMM,Path program menyebabkan probe collision minor,Koordinasi dengan engineering untuk review toleransi di drawing,Investigated,produksi_b,Produksi,Andi,2026-04-06 12:45:44,2026-04-06 14:43:44
19b42d1e,06 Apr 2026|1|1|CRCS L|K1AL L1|B018|Position To f & g,06 Apr 2026,1,1,CRCS L,K1AL L1,B018,N0525,Position To f & g,0.291,Operator,Tidak melakukan verifikasi awal sebelum produksi,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Resolved,operator_2,Produksi,Budi,2026-04-06 11:46:44,2026-04-06 14:32:44
09756b3f,06 Apr 2026|1|1|CRCS L|K1AL L1|A030|Posisi Y Drill 6.5,06 Apr 2026,1,1,CRCS L,K1AL L1,A030,N0529,Posisi Y Drill 6.5,0.22,Mesin / Machine,Getaran mesin berlebih saat pengukuran,Koordinasi dengan engineering untuk review toleransi di drawing,Resolved,operator_1,Produksi,Hendra,2026-04-06 13:18:44,2026-04-06 15:22:44
ef0fe25a,06 Apr 2026|1|1|CRCS L|K1AL L1|A002|Posisi Y From A001 ( Drill 6 ),06 Apr 2026,1,1,CRCS L,K1AL L1,A002,N0531,Posisi Y From A001 ( Drill 6 ),0.23,Lainnya,Penyebab masih dalam investigasi lebih lanjut,Koordinasi dengan engineering untuk review toleransi di drawing,Investigated,operator_1,Produksi,Dani,2026-04-06 13:11:44,2026-04-06 13:11:44
d6c1877d,06 Apr 2026|1|2|CRCS L|K1AL L1|A041|Posisi Y,06 Apr 2026,1,2,CRCS L,K1AL L1,A041,N0084,Posisi Y,0.273,Lainnya,Kemungkinan kombinasi beberapa faktor,"Part di-rework, re-measurement setelah proses",Resolved,operator_3,Produksi,,2026-04-06 14:32:44,2026-04-06 16:54:44
eb328e46,06 Apr 2026|1|2|CRCS L|K1AL L1|A042|Posisi Y,06 Apr 2026,1,2,CRCS L,K1AL L1,A042,N0088,Posisi Y,0.348,Setup / Fixture,Part tidak rata saat setup — ada celah di datum,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Investigated,produksi_a,Produksi,Rini,2026-04-06 14:02:44,2026-04-06 16:20:44
d83a0a58,06 Apr 2026|1|2|CRCS L|K1AL L1|A048|Posisi Y From A006,06 Apr 2026,1,2,CRCS L,K1AL L1,A048,N0172,Posisi Y From A006,0.206,Mesin / Machine,Backlash axis melebihi batas toleransi,Program CMM diupdate sesuai revisi drawing terbaru,Open,produksi_a,Produksi,Andi,2026-04-06 13:49:44,2026-04-06 14:29:44
2e7b1380,06 Apr 2026|1|2|CRCS L|K1AL L1|B075|Posisi Y,06 Apr 2026,1,2,CRCS L,K1AL L1,B075,N0213,Posisi Y,-0.254,Lainnya,Penyebab masih dalam investigasi lebih lanjut,Material dikembalikan ke gudang untuk inspeksi ulang,Investigated,produksi_a,Produksi,Hendra,2026-04-06 12:34:44,2026-04-06 14:17:44
1251a7df,06 Apr 2026|1|2|CRCS L|K1AL L1|B054|Posisi Y,06 Apr 2026,1,2,CRCS L,K1AL L1,B054,N0313,Posisi Y,-0.233,Program CMM,Program belum di-update setelah ECR terakhir,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Investigated,operator_2,Produksi,Rini,2026-04-06 13:21:44,2026-04-06 16:09:44
c72610a2,06 Apr 2026|1|2|CRCS L|K1AL L1|B052|Posisi Y,06 Apr 2026,1,2,CRCS L,K1AL L1,B052,N0321,Posisi Y,-0.233,Material,Dimensi raw material melebihi toleransi,"Tool diganti, measurement diulang dan hasilnya OK",Investigated,produksi_b,Produksi,Dani,2026-04-06 12:41:44,2026-04-06 14:22:44
e8b42d1a,06 Apr 2026|1|2|CRCS L|K1AL L1|-|-,06 Apr 2026,1,2,CRCS L,K1AL L1,-,N0399,-,-0.082,Operator,Setup belum sesuai SOP yang berlaku,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Investigated,operator_2,Produksi,Andi,2026-04-06 13:31:44,2026-04-06 16:10:44
883fbdd9,06 Apr 2026|1|2|CRCS L|K1AL L1|A153|Posisi X,06 Apr 2026,1,2,CRCS L,K1AL L1,A153,N0430,Posisi X,0.201,Mesin / Machine,Kalibrasi probe terlambat dilakukan,Operator di-brief ulang terkait SOP setup dan mounting,Investigated,produksi_a,Produksi,Hendra,2026-04-06 12:07:44,2026-04-06 13:36:44
193802ae,06 Apr 2026|1|2|CRCS L|K1AL L1|A160|Posisi Y,06 Apr 2026,1,2,CRCS L,K1AL L1,A160,N0434,Posisi Y,0.35,Material,Surface finish tidak memenuhi syarat pengukuran CMM,,Investigated,produksi_c,Produksi,Budi,2026-04-06 13:53:44,2026-04-06 16:53:44
be407883,06 Apr 2026|1|2|CRCS L|K1AL L1|A156|Posisi X,06 Apr 2026,1,2,CRCS L,K1AL L1,A156,N0442,Posisi X,0.222,Tooling,Coolant tersumbat menyebabkan panas berlebih,Material dikembalikan ke gudang untuk inspeksi ulang,Resolved,produksi_c,Produksi,Andi,2026-04-06 12:00:44,2026-04-06 12:34:44
f19cd950,06 Apr 2026|1|2|CRCS L|K1AL L1|A154|Posisi X,06 Apr 2026,1,2,CRCS L,K1AL L1,A154,N0446,Posisi X,0.228,Mesin / Machine,Getaran mesin berlebih saat pengukuran,Operator di-brief ulang terkait SOP setup dan mounting,Resolved,produksi_b,Produksi,Rini,2026-04-06 12:46:44,2026-04-06 15:20:44
68acf825,06 Apr 2026|1|2|CRCS L|K1AL L1|A154|Posisi Y,06 Apr 2026,1,2,CRCS L,K1AL L1,A154,N0446,Posisi Y,0.236,Setup / Fixture,Clamp longgar menyebabkan pergeseran part,Program CMM diupdate sesuai revisi drawing terbaru,Resolved,produksi_a,Produksi,Andi,2026-04-06 13:39:44,2026-04-06 14:43:44
9347cb3b,06 Apr 2026|1|2|CRCS L|K1AL L1|-|-,06 Apr 2026,1,2,CRCS L,K1AL L1,-,N0452,-,0.273,Tooling,Coolant tersumbat menyebabkan panas berlebih,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Investigated,produksi_b,Produksi,Dani,2026-04-06 11:34:44,2026-04-06 12:59:44
af8b6419,06 Apr 2026|1|2|CRCS L|K1AL L1|-|-,06 Apr 2026,1,2,CRCS L,K1AL L1,-,N0452,-,-0.5,Setup / Fixture,Fixture bergeser setelah pergantian shift,Preventive maintenance dijadwalkan,Resolved,produksi_a,Produksi,Andi,2026-04-06 13:23:44,2026-04-06 15:46:44
5f353087,06 Apr 2026|1|2|CRCS L|K1AL L1|B017|Distance From B027,06 Apr 2026,1,2,CRCS L,K1AL L1,B017,N0478,Distance From B027,-0.102,Mesin / Machine,Deviasi probe akibat benturan tidak terdeteksi,Koordinasi dengan engineering untuk review toleransi di drawing,Resolved,produksi_c,Produksi,Sari,2026-04-06 13:53:44,2026-04-06 14:02:44
d6bf82a0,06 Apr 2026|1|2|CRCS L|K1AL L1|A151|Posisi Y Drill 6.45,06 Apr 2026,1,2,CRCS L,K1AL L1,A151,N0482,Posisi Y Drill 6.45,0.219,Operator,Operator baru belum familiar dengan prosedur,Laporan diteruskan ke supervisor untuk tindak lanjut,Open,produksi_c,Produksi,Hendra,2026-04-06 14:57:44,2026-04-06 15:07:44
22ccfcdc,06 Apr 2026|1|2|CRCS L|K1AL L1|-|-,06 Apr 2026,1,2,CRCS L,K1AL L1,-,N0491,-,0.273,Tooling,Tool wear melebihi batas — perlu penggantian,Laporan diteruskan ke supervisor untuk tindak lanjut,Investigated,operator_1,Produksi,Sari,2026-04-06 14:53:44,2026-04-06 17:16:44
08e819fd,06 Apr 2026|1|2|CRCS L|K1AL L1|B018|Position To f & g,06 Apr 2026,1,2,CRCS L,K1AL L1,B018,N0525,Position To f & g,0.203,Setup / Fixture,Part tidak rata saat setup — ada celah di datum,"Part di-rework, re-measurement setelah proses",Resolved,operator_3,Produksi,Rini,2026-04-06 11:40:44,2026-04-06 12:25:44
349d2c19,06 Apr 2026|1|2|CRCS L|K1AL L1|A030|Posisi Y Drill 6.5,06 Apr 2026,1,2,CRCS L,K1AL L1,A030,N0529,Posisi Y Drill 6.5,0.273,Lainnya,Belum dapat diidentifikasi — perlu analisis lanjut,Operator di-brief ulang terkait SOP setup dan mounting,Resolved,produksi_a,Produksi,Wahyu,2026-04-06 12:14:44,2026-04-06 15:13:44
7401b40b,06 Apr 2026|1|2|CRCS L|K1AL L1|A002|Posisi Y From A001 ( Drill 6 ),06 Apr 2026,1,2,CRCS L,K1AL L1,A002,N0531,Posisi Y From A001 ( Drill 6 ),0.231,Lainnya,Faktor eksternal — sedang diinvestigasi,"Tool diganti, measurement diulang dan hasilnya OK",Open,produksi_c,Produksi,Dani,2026-04-06 12:25:44,2026-04-06 14:22:44
66ff4193,06 Apr 2026|1|3|CRCS L|K1AL L1|B073|Posisi Y,06 Apr 2026,1,3,CRCS L,K1AL L1,B073,N0201,Posisi Y,-0.203,Lainnya,Belum dapat diidentifikasi — perlu analisis lanjut,"Tool diganti, measurement diulang dan hasilnya OK",Resolved,produksi_b,Produksi,Wahyu,2026-04-06 11:40:44,2026-04-06 14:28:44
f2d991d8,06 Apr 2026|1|3|CRCS L|K1AL L1|B011|Posisi X Reamer 8H8,06 Apr 2026,1,3,CRCS L,K1AL L1,B011,N0252,Posisi X Reamer 8H8,-0.062,Material,Material incoming di luar spec dimensi,,Investigated,operator_3,Produksi,Wahyu,2026-04-06 12:45:44,2026-04-06 14:14:44
282d5e76,06 Apr 2026|1|3|CRCS L|K1AL L1|B011|Posisi Y Reamer 8H8,06 Apr 2026,1,3,CRCS L,K1AL L1,B011,N0252,Posisi Y Reamer 8H8,-1.064,Tooling,Tool life habis namun belum diganti,Laporan diteruskan ke supervisor untuk tindak lanjut,Resolved,produksi_c,Produksi,Sari,2026-04-06 11:41:44,2026-04-06 12:10:44
b5677507,06 Apr 2026|1|3|CRCS L|K1AL L1|-|-,06 Apr 2026,1,3,CRCS L,K1AL L1,-,N0259,-,-0.059,Program CMM,Tolerance setting program belum sesuai revisi drawing terbaru,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Resolved,operator_1,Produksi,Rini,2026-04-06 12:01:44,2026-04-06 14:33:44
f88824cc,06 Apr 2026|1|3|CRCS L|K1AL L1|B012|Posisi Y From B011 Reamer 8H8,06 Apr 2026,1,3,CRCS L,K1AL L1,B012,N0266,Posisi Y From B011 Reamer 8H8,-1.068,Tooling,Holder tool longgar saat proses machining,Fixture di-check dan di-realign ke posisi nominal,Resolved,operator_1,Produksi,Hendra,2026-04-06 13:44:44,2026-04-06 14:13:44
f1e6d935,06 Apr 2026|1|3|CRCS L|K1AL L1|B059|Posisi X,06 Apr 2026,1,3,CRCS L,K1AL L1,B059,N0272,Posisi X,-0.209,Material,Surface finish tidak memenuhi syarat pengukuran CMM,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Open,operator_3,Produksi,Hendra,2026-04-06 13:47:44,2026-04-06 16:04:44
1476e05a,06 Apr 2026|1|3|CRCS L|K1AL L1|B052|Posisi Y,06 Apr 2026,1,3,CRCS L,K1AL L1,B052,N0321,Posisi Y,-0.212,Material,Dimensi raw material melebihi toleransi,Fixture di-check dan di-realign ke posisi nominal,Investigated,produksi_a,Produksi,Dani,2026-04-06 12:54:44,2026-04-06 15:43:44
cd19f320,06 Apr 2026|1|3|CRCS L|K1AL L1|-|-,06 Apr 2026,1,3,CRCS L,K1AL L1,-,N0377,-,0.124,Program CMM,Path program menyebabkan probe collision minor,Laporan diteruskan ke supervisor untuk tindak lanjut,Investigated,produksi_c,Produksi,Sari,2026-04-06 13:17:44,2026-04-06 16:15:44
20390d75,06 Apr 2026|1|3|CRCS L|K1AL L1|-|-,06 Apr 2026,1,3,CRCS L,K1AL L1,-,N0399,-,-0.068,Setup / Fixture,Datum reference tidak sesuai drawing,Material dikembalikan ke gudang untuk inspeksi ulang,Investigated,operator_2,Produksi,Dani,2026-04-06 14:45:44,2026-04-06 15:29:44
ca5385ad,06 Apr 2026|1|3|CRCS L|K1AL L1|A153|Posisi Y,06 Apr 2026,1,3,CRCS L,K1AL L1,A153,N0430,Posisi Y,0.296,Operator,Setup belum sesuai SOP yang berlaku,Operator di-brief ulang terkait SOP setup dan mounting,Investigated,operator_1,Produksi,Rini,2026-04-06 12:47:44,2026-04-06 13:40:44
2b8feb63,06 Apr 2026|1|3|CRCS L|K1AL L1|A160|Posisi Y,06 Apr 2026,1,3,CRCS L,K1AL L1,A160,N0434,Posisi Y,0.463,Operator,Part terbalik saat mounting ke fixture,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,operator_3,Produksi,Andi,2026-04-06 13:35:44,2026-04-06 14:18:44
918ba470,06 Apr 2026|1|3|CRCS L|K1AL L1|A155|Posisi Y,06 Apr 2026,1,3,CRCS L,K1AL L1,A155,N0438,Posisi Y,0.331,Material,Material dari batch berbeda dengan properties berbeda,Laporan diteruskan ke supervisor untuk tindak lanjut,Investigated,operator_3,Produksi,Dani,2026-04-06 11:57:44,2026-04-06 12:57:44
361d3680,06 Apr 2026|1|3|CRCS L|K1AL L1|A156|Posisi Y,06 Apr 2026,1,3,CRCS L,K1AL L1,A156,N0442,Posisi Y,0.297,Setup / Fixture,Part tidak rata saat setup — ada celah di datum,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Resolved,operator_1,Produksi,Andi,2026-04-06 11:45:44,2026-04-06 12:47:44
83b37b9a,06 Apr 2026|1|3|CRCS L|K1AL L1|A154|Posisi Y,06 Apr 2026,1,3,CRCS L,K1AL L1,A154,N0446,Posisi Y,0.341,Operator,Tidak melakukan verifikasi awal sebelum produksi,"Tool diganti, measurement diulang dan hasilnya OK",Investigated,operator_1,Produksi,,2026-04-06 14:37:44,2026-04-06 17:35:44
0709be2e,06 Apr 2026|1|3|CRCS L|K1AL L1|-|-,06 Apr 2026,1,3,CRCS L,K1AL L1,-,N0452,-,-0.5,Operator,Setup belum sesuai SOP yang berlaku,,Investigated,operator_1,Produksi,Hendra,2026-04-06 14:51:44,2026-04-06 15:18:44
7862a854,06 Apr 2026|1|3|CRCS L|K1AL L1|B011|Posisi Y Drill 5.45,06 Apr 2026,1,3,CRCS L,K1AL L1,B011,N0453,Posisi Y Drill 5.45,-0.263,Setup / Fixture,Posisi fixture tidak di-verify ulang setelah maintenance,Program CMM diupdate sesuai revisi drawing terbaru,Resolved,operator_2,Produksi,Hendra,2026-04-06 13:32:44,2026-04-06 13:44:44
5feabdbe,06 Apr 2026|1|3|CRCS L|K1AL L1|B012|Posisi Y From B011 Drill 5.45,06 Apr 2026,1,3,CRCS L,K1AL L1,B012,N0455,Posisi Y From B011 Drill 5.45,-0.301,Lainnya,Belum dapat diidentifikasi — perlu analisis lanjut,,Open,operator_2,Produksi,Rini,2026-04-06 13:32:44,2026-04-06 16:22:44
d6a63dd5,06 Apr 2026|1|3|CRCS L|K1AL L1|A006|Concentricity to m,06 Apr 2026,1,3,CRCS L,K1AL L1,A006,N0488,Concentricity to m,0.04,Lainnya,Faktor eksternal — sedang diinvestigasi,,Resolved,produksi_b,Produksi,,2026-04-06 13:54:44,2026-04-06 15:48:44
d0700c10,06 Apr 2026|1|3|CRCS L|K1AL L1|-|-,06 Apr 2026,1,3,CRCS L,K1AL L1,-,N0510,-,0.231,Operator,Part terbalik saat mounting ke fixture,,Investigated,operator_2,Produksi,,2026-04-06 14:17:44,2026-04-06 15:27:44
4481be46,06 Apr 2026|1|3|CRCS L|K1AL L1|-|-,06 Apr 2026,1,3,CRCS L,K1AL L1,-,N0520,-,0.388,Tooling,Holder tool longgar saat proses machining,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Investigated,produksi_b,Produksi,Dani,2026-04-06 14:36:44,2026-04-06 15:49:44
